timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
92675672,0.00038254258,1.7404345e-05,-0.0003191576,0.0
92875504,0.00049488543,-0.00019441261,3.2411815e-05,0.0
93076000,0.00017498912,-0.000278702,0.00019021373,0.0
93275470,0.00023334996,-0.00043570827,0.00046349512,0.0
93479232,0.00044470027,-0.00015099048,0.00026026324,0.0
93676188,0.00039928756,-0.00014483875,0.0002165363,0.0
93876133,-0.0001797168,-0.00036532362,0.00047084285,0.0
94076140,8.356391e-05,0.00039319586,0.00024027014,0.0
94275491,0.00025093742,-0.0007166276,0.00026734942,0.0
94475551,-0.000782057,0.00029122384,-7.902864e-05,0.0
94675478,-0.00080077833,-0.00022467544,-0.00012662144,0.0
94879732,0.000100207304,-0.0011293968,0.00013604468,0.0
95076393,-0.0006759474,-0.0002404947,-2.9350438e-05,0.0
95275622,-0.00027851714,0.00035396707,-8.571233e-05,0.0
95475558,-0.0011018381,0.00012986046,0.00017100826,0.0
95675871,0.0004103973,0.0007359844,-0.00028583908,0.0
95876209,-0.0007615754,0.00087844196,-4.5304343e-05,0.0
96076339,-6.769186e-05,0.0038864983,-1.1514055e-05,0.0
96276445,0.00011187374,0.001677562,-7.5683776e-05,0.0
96475625,-0.0007336457,-0.0007570828,-0.000103774815,0.0
96676212,-0.00018061376,-0.00038990736,-0.0003241422,0.0
96876044,-0.00025135168,-0.0011551528,-0.00018667175,0.0
97075679,-0.0010710628,-0.0010495629,7.215529e-05,0.0
97275542,-0.0005278908,-0.0005888895,-2.4251244e-06,0.0
97476295,-0.0012302394,-0.00012998247,9.144143e-05,0.0
97676419,-0.000111872134,-0.0006008743,-0.00029394682,0.0
97876439,0.00013398002,0.00032554043,-5.492495e-05,0.0
98075894,-0.00056828593,-0.0033237706,0.000409836,0.0
98276431,-0.0003982141,-0.0013106999,0.000851365,0.0
98476187,0.0043926383,0.002208023,0.011179289,0.0
98676377,0.0028472005,0.0021675043,0.01844212,0.0
98875690,0.0011841421,-0.0009131048,0.018100938,0.0
99072235,0.00010636302,-0.00070084503,0.014988402,0.0
99276530,-0.003653481,0.002377081,0.0111627625,0.0
99476356,-0.0035609514,0.00038389317,0.009018028,0.0
99675860,-0.0020292853,-0.0028132848,0.0077401674,0.0
99875951,-0.002672617,-0.0029372578,0.0076304134,0.0
