timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
75251953,-0.06764895,-0.094299585,0.1168581,-0.0067324066,0.9967067,-0.030972041,-0.048997615,0.056706347,0.0,0.0,-0.609962,0,0,0,0,0
75313242,-0.069345154,-0.09371649,0.11648022,-0.0061344556,0.9967039,-0.031844024,-0.048749153,0.056487326,0.0,0.0,-0.6074915,0,0,0,0,0
75364835,-0.07021768,-0.096649274,0.11622093,-0.0072567225,0.9966306,-0.032197706,-0.05023082,0.056281462,0.0,0.0,-0.60643464,0,0,0,0,0
75412095,-0.06750483,-0.096236154,0.11582808,-0.0073381225,0.9966939,-0.030867938,-0.04994253,0.0561613,0.0,0.0,-0.6054193,0,0,0,0,0
75452221,-0.06716886,-0.096269384,0.11562987,-0.0068833707,0.9967039,-0.030704474,-0.049946614,0.056070305,0.0,0.0,-0.60802734,0,0,0,0,0
75512121,-0.068760365,-0.09907423,0.11525263,-0.006027348,0.9966242,-0.031424046,-0.051382743,0.055790536,0.0,0.0,-0.61042935,0,0,0,0,0
75561270,-0.07011773,-0.09751355,0.11500668,-0.0076129087,0.99664617,-0.032152858,-0.05063909,0.055662576,0.0,0.0,-0.61028457,0,0,0,0,0
75607916,-0.07075898,-0.095257424,0.11458363,-0.008214091,0.9966995,-0.032549523,-0.04952597,0.055478424,0.0,0.0,-0.6085081,0,0,0,0,0
75656239,-0.07074796,-0.09698516,0.11430491,-0.00783147,0.9966677,-0.032500207,-0.05038197,0.055306952,0.0,0.0,-0.6060476,0,0,0,0,0
75709514,-0.06998754,-0.09781451,0.1138336,-0.0075594764,0.99667364,-0.032108884,-0.05076659,0.055075616,0.0,0.0,-0.60540736,0,0,0,0,0
75757231,-0.07124313,-0.09537758,0.11354251,-0.0076892558,0.99671763,-0.032813072,-0.049582187,0.054945294,0.0,0.0,-0.6041681,0,0,0,0,0
75804398,-0.07058024,-0.09554959,0.11314727,-0.008938281,0.99673533,-0.032487515,-0.049643267,0.054761488,0.0,0.0,-0.60501707,0,0,0,0,0
75859921,-0.07522147,-0.09407235,0.112689175,-0.008814541,0.9967031,-0.03485469,-0.049026217,0.054447528,0.0,0.0,-0.60890037,0,0,0,0,0
75908039,-0.07263086,-0.09226597,0.1122026,-0.007628276,0.9968007,-0.033627626,-0.04804738,0.054303546,0.0,0.0,-0.60909045,0,0,0,0,0
75953508,-0.071635805,-0.09396973,0.11187687,-0.008522981,0.9967883,-0.03309053,-0.048863955,0.054132454,0.0,0.0,-0.6100659,0,0,0,0,0
76012220,-0.075020105,-0.09468533,0.111387305,-0.009842251,0.99672806,-0.034768667,-0.049303524,0.053791385,0.0,0.0,-0.6103019,0,0,0,0,0
76061156,-0.07516916,-0.08945113,0.111046284,-0.009644819,0.9968493,-0.03500086,-0.046693392,0.053722527,0.0,0.0,-0.608701,0,0,0,0,0
76112114,-0.0714326,-0.08987667,0.11052874,-0.007933011,0.9969178,-0.033138387,-0.04679644,0.053543583,0.0,0.0,-0.6086645,0,0,0,0,0
76160259,-0.07227586,-0.08963492,0.11020675,-0.007833054,0.9969175,-0.0335731,-0.046693135,0.05336801,0.0,0.0,-0.6102589,0,0,0,0,0
76205211,-0.07206904,-0.08839955,0.10989958,-0.006458924,0.99695534,-0.033512034,-0.04606678,0.053243425,0.0,0.0,-0.610344,0,0,0,0,0
76255483,-0.06921073,-0.089709856,0.109472156,-0.00798226,0.99698573,-0.032060232,-0.046636865,0.05307194,0.0,0.0,-0.6099219,0,0,0,0,0
76305415,-0.0707658,-0.09026563,0.10926137,-0.006840176,0.99695414,-0.032824744,-0.046951648,0.052920096,0.0,0.0,-0.6102581,0,0,0,0,0
76356006,-0.0692571,-0.091792755,0.10879247,-0.0080864,0.9969577,-0.032041032,-0.047665317,0.052693494,0.0,0.0,-0.609268,0,0,0,0,0
76413499,-0.06837497,-0.091222875,0.10839208,-0.008126635,0.9969948,-0.03162669,-0.04735171,0.052525345,0.0,0.0,-0.608618,0,0,0,0,0
76452428,-0.0669426,-0.08887386,0.108129516,-0.010966612,0.9970747,-0.030984,-0.04613917,0.052470416,0.0,0.0,-0.60740644,0,0,0,0,0
76512248,-0.06944807,-0.089877926,0.10772944,-0.006186,0.9970242,-0.032214526,-0.04669888,0.052194543,0.0,0.0,-0.6099472,0,0,0,0,0
76563955,-0.067471504,-0.086005785,0.10743358,-0.009798088,0.9971447,-0.031342722,-0.044712495,0.052162886,0.0,0.0,-0.6097885,0,0,0,0,0
76613022,-0.06959437,-0.091201045,0.10695891,-0.0074214563,0.99701315,-0.0322691,-0.04734974,0.051782448,0.0,0.0,-0.61151147,0,0,0,0,0
76655960,-0.071212485,-0.08947705,0.106643565,-0.010675007,0.9970321,-0.033130456,-0.046527125,0.051619608,0.0,0.0,-0.6115528,0,0,0,0,0
76708249,-0.06853793,-0.09244233,0.10610744,-0.008035541,0.9970248,-0.031728763,-0.047927555,0.051360242,0.0,0.0,-0.6099349,0,0,0,0,0
76756116,-0.07035366,-0.091822244,0.10566417,-0.010601421,0.99702054,-0.03266139,-0.047657866,0.051107373,0.0,0.0,-0.6085701,0,0,0,0,0
76809271,-0.06955652,-0.0933685,0.1052037,-0.008639702,0.99701095,-0.032233153,-0.048400763,0.050868116,0.0,0.0,-0.6085979,0,0,0,0,0
76856079,-0.070891656,-0.09361693,0.10488422,-0.0074496483,0.99699175,-0.03289975,-0.048553273,0.05067184,0.0,0.0,-0.60720277,0,0,0,0,0
76912137,-0.07255341,-0.09020291,0.10423832,-0.013341567,0.9970554,-0.03383543,-0.046882845,0.05037535,0.0,0.0,-0.6071782,0,0,0,0,0
